ID,LEVEL_ID,ELEVATION,AREA,PERIMETER
"113781","100001","1650","3.3","8.2"
"115476","100001","1650","3.3","8.2"
"123166","123115","1650","3.3","8.2"
"123167","123115","1650","3.3","8.2"
"127395","123115","0","77.6412","40.5707"
"128084","123115","0","96.36","51.8"
"132791","123115","0","5.58538","10.202"
"132896","123115","3300","22.32","20.6"
"135726","135675","1650","3.3","8.2"
"135727","135675","1650","3.3","8.2"
"140204","135675","0","725.7","161"
"161927","161782","1650","3.3","8.2"
"161928","161782","1650","3.3","8.2"
"161929","161782","0","725.7","161"
"162358","162068","1650","3.3","8.2"
"162359","162068","1650","3.3","8.2"
"162360","162068","0","725.7","161"
"162361","162069","1650","3.3","8.2"
"162362","162069","1650","3.3","8.2"
"162363","162069","0","725.7","161"
"163227","162647","1650","3.3","8.2"
"163228","162647","1650","3.3","8.2"
"163229","162647","0","725.7","161"
"163230","162648","1650","3.3","8.2"
"163231","162648","1650","3.3","8.2"
"163232","162648","0","725.7","161"
"163233","162649","1650","3.3","8.2"
"163234","162649","1650","3.3","8.2"
"163235","162649","0","725.7","161"
"163236","162650","1650","3.3","8.2"
"163237","162650","1650","3.3","8.2"
"163238","162650","0","725.7","161"
"165259","164099","1650","3.3","8.2"
"165260","164099","1650","3.3","8.2"
"165261","164099","0","725.7","161"
"165262","164100","1650","3.3","8.2"
"165263","164100","1650","3.3","8.2"
"165264","164100","0","725.7","161"
"165265","164101","1650","3.3","8.2"
"165266","164101","1650","3.3","8.2"
"165267","164101","0","725.7","161"
"165268","164102","1650","3.3","8.2"
"165269","164102","1650","3.3","8.2"
"165270","164102","0","725.7","161"
"165271","164103","1650","3.3","8.2"
"165272","164103","1650","3.3","8.2"
"165273","164103","0","725.7","161"
"165274","164104","1650","3.3","8.2"
"165275","164104","1650","3.3","8.2"
"165276","164104","0","725.7","161"
"165277","164105","1650","3.3","8.2"
"165278","164105","1650","3.3","8.2"
"165279","164105","0","725.7","161"
"165280","164106","1650","3.3","8.2"
"165281","164106","1650","3.3","8.2"
"165282","164106","0","725.7","161"
"167974","166524","1650","3.3","8.2"
"167975","166524","1650","3.3","8.2"
"167976","166524","0","725.7","161"
"167977","166525","1650","3.3","8.2"
"167978","166525","1650","3.3","8.2"
"167979","166525","0","725.7","161"
"167980","166526","1650","3.3","8.2"
"167981","166526","1650","3.3","8.2"
"167982","166526","0","725.7","161"
"167983","166527","1650","3.3","8.2"
"167984","166527","1650","3.3","8.2"
"167985","166527","0","725.7","161"
"167986","166528","1650","3.3","8.2"
"167987","166528","1650","3.3","8.2"
"167988","166528","0","725.7","161"
"167989","166529","1650","3.3","8.2"
"167990","166529","1650","3.3","8.2"
"167991","166529","0","725.7","161"
"167992","166530","1650","3.3","8.2"
"167993","166530","1650","3.3","8.2"
"167994","166530","0","725.7","161"
"167995","166531","1650","3.3","8.2"
"167996","166531","1650","3.3","8.2"
"167997","166531","0","725.7","161"
"167998","166532","1650","3.3","8.2"
"167999","166532","1650","3.3","8.2"
"168000","166532","0","725.7","161"
"170157","169763","0","726.41","160.901"
"171987","171960","0","785.4","128.2"
"172174","100001","0","824.16","133.4"